#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
-180.0,30,10.204632
-380.0,30,10.204637
-380.0,30,10.204642
-290.0,30,10.204646
-180.0,30,10.204654
30.0,30,10.334062
-190.0,30,10.334106
120.0,30,10.334119
20.0,30,10.334125
-190.0,30,10.33413
-300.0,30,10.334134
10.0,30,10.334139
-90.0,30,10.334143
-190.0,30,10.45811
10.0,30,10.458145
10.0,30,10.458156
-400.0,30,10.458162
-190.0,30,10.458166
-190.0,30,10.458171
-370.0,30,10.458175
-600.0,30,10.458179
-390.0,30,10.581156
120.0,30,10.581198
10.0,30,10.581206
-390.0,30,10.581211
-190.0,30,10.581216
10.0,30,10.581221
-380.0,30,10.581225
-390.0,30,10.581229
10.0,30,10.702935
-90.0,30,10.702973
-190.0,30,10.702981
-190.0,30,10.702986
-190.0,30,10.702991
-180.0,30,10.702995
-300.0,30,10.703
-400.0,30,10.703004
20.0,30,10.82549
10.0,30,10.825536
-380.0,30,10.825544
-180.0,30,10.82555
-390.0,30,10.825555
-390.0,30,10.825559
20.0,30,10.825564
-200.0,30,10.825568
-90.0,30,10.946872
-180.0,30,10.946906
-400.0,30,10.946913
-190.0,30,10.946918
-190.0,30,10.946923
-390.0,30,10.946927
-190.0,30,10.946931
-370.0,30,10.946935
-390.0,30,11.06181
20.0,30,11.061838
-180.0,30,11.061845
-190.0,30,11.06185
-180.0,30,11.061855
-170.0,30,11.06186
-180.0,30,11.061864
30.0,30,11.061868
-90.0,30,11.170392
-300.0,30,11.170423
-190.0,30,11.17043
-90.0,30,11.170435
30.0,30,11.17044
30.0,30,11.170444
-100.0,30,11.170448
110.0,30,11.170453
-180.0,30,11.277537
-200.0,30,11.277557
0.0,30,11.277564
-190.0,30,11.277568
-390.0,30,11.277573
-390.0,30,11.277577
-400.0,30,11.277582
-300.0,30,11.277586
20.0,30,11.384476
-390.0,30,11.384494
-290.0,30,11.3845
20.0,30,11.384505
-590.0,30,11.38451
-190.0,30,11.384514
-90.0,30,11.384518
0.0,30,11.384522
20.0,30,11.604708
-400.0,30,11.604769
-190.0,30,11.604785
-90.0,30,11.604791
10.0,30,11.604797
-70.0,30,11.604802
10.0,30,11.604807
-390.0,30,11.604812
-390.0,30,11.721516
-580.0,30,11.721568
-280.0,30,11.721577
-390.0,30,11.721582
-100.0,30,11.721587
-180.0,30,11.721592
20.0,30,11.721596
-170.0,30,11.7216
-580.0,30,11.828586
-200.0,30,11.828627
-190.0,30,11.828639
-190.0,30,11.828645
-380.0,30,11.82865
120.0,30,11.828655
10.0,30,11.828659
-200.0,30,11.828663
10.0,30,11.935841
-180.0,30,11.935885
-90.0,30,11.935893
-390.0,30,11.935898
-400.0,30,11.935903
10.0,30,11.935907
-90.0,30,11.935911
-200.0,30,11.935915
-400.0,30,12.042271
-390.0,30,12.042292
-200.0,30,12.042298
10.0,30,12.042303
-190.0,30,12.042308
-180.0,30,12.042312
-190.0,30,12.042316
-190.0,30,12.04232
-190.0,30,12.148724
-190.0,30,12.14874
20.0,30,12.148746
-200.0,30,12.148751
0.0,30,12.148756
-190.0,30,12.14876
-190.0,30,12.148764
-80.0,30,12.148769
0.0,30,12.255526
0.0,30,12.25555
-200.0,30,12.255556
-570.0,30,12.255561
-380.0,30,12.255566
-190.0,30,12.25557
-170.0,30,12.255575
-590.0,30,12.255579
-90.0,30,12.362064
-80.0,30,12.362085
-580.0,30,12.362091
-290.0,30,12.362096
110.0,30,12.362101
-390.0,30,12.362105
-190.0,30,12.362109
-180.0,30,12.362113
-90.0,30,12.481373
220.0,30,12.481415
20.0,30,12.481423
-180.0,30,12.481428
-380.0,30,12.481433
-190.0,30,12.481438
